feature_id,symb,num,length
ENSG00000268903,ENSG00000268903.1,1,755
ENSG00000269981,ENSG00000269981.1,1,284
ENSG00000239906,ENSG00000239906.1,1,323
ENSG00000241860,ENSG00000241860.7,7,7559
ENSG00000222623,RNU6-1100P,1,104
ENSG00000241599,ENSG00000241599.1,1,457
ENSG00000279928,DDX11L17,2,570
ENSG00000279457,WASH9P,4,1397
ENSG00000273874,MIR6859-2,1,68
ENSG00000228463,ENSG00000228463.10,10,8224
ENSG00000286448,ENSG00000286448.1,1,736
ENSG00000236679,RPL23AP24,2,385
ENSG00000236601,ENSG00000236601.2,2,1095
ENSG00000290385,ENSG00000290385.1,1,6204
ENSG00000269732,WBP1LP7,1,363
ENSG00000284733,OR4F29,2,939
ENSG00000237094,ENSG00000237094.13,13,183
ENSG00000233653,CICP7,3,2477
ENSG00000250575,ENSG00000250575.1,1,1239
ENSG00000278757,U6_ENSG00000278757,1,104
ENSG00000230021,ENSG00000230021.10,10,5495
ENSG00000235146,ENSG00000235146.2,2,635
ENSG00000225972,MTND1P23,1,372
ENSG00000225630,MTND2P28,1,1044
ENSG00000237973,MTCO1P12,1,1543
ENSG00000278791,ENSG00000278791.1,1,89
ENSG00000229344,MTCO2P12,1,682
ENSG00000240409,MTATP8P1,1,207
ENSG00000248527,MTATP6P1,1,681
ENSG00000198744,MTCO3P12,5,547
ENSG00000268663,WBP1LP6,1,424
ENSG00000284662,OR4F16,2,939
ENSG00000229376,CICP3,3,2455
ENSG00000291215,ENSG00000291215.1,1,7026
ENSG00000223181,RNU6-1199P,1,104
ENSG00000229905,ENSG00000229905.1,1,456
ENSG00000228327,ENSG00000228327.6,6,417
ENSG00000237491,LINC01409,10,8413
ENSG00000285268,ENSG00000285268.1,1,114
ENSG00000290784,ENSG00000290784.1,1,872
ENSG00000230092,ENSG00000230092.8,8,238
ENSG00000177757,FAM87B,2,1947
ENSG00000225880,LINC00115,6,3312
ENSG00000228794,LINC01128,12,17958
ENSG00000288531,ENSG00000288531.1,1,3292
ENSG00000230368,FAM41C,2,1971
ENSG00000234711,TUBB8P11,1,1058
ENSG00000283040,ENSG00000283040.1,1,837
ENSG00000272438,ENSG00000272438.1,1,351
ENSG00000230699,ENSG00000230699.2,2,3043
ENSG00000241180,ENSG00000241180.1,1,443
ENSG00000223764,LINC02593,2,4152
ENSG00000187634,SAMD11,13,4172
ENSG00000188976,NOC2L,11,5540
ENSG00000187961,KLHL17,15,3402
ENSG00000187583,PLEKHN1,11,3451
ENSG00000187642,PERM1,10,3561
ENSG00000272512,ENSG00000272512.1,1,2086
ENSG00000188290,HES4,11,1118
ENSG00000187608,ISG15,10,867
ENSG00000231702,ENSG00000231702.2,2,154
ENSG00000224969,ENSG00000224969.1,1,471
ENSG00000188157,AGRN,15,10761
ENSG00000242590,ENSG00000242590.1,1,402
ENSG00000291156,ENSG00000291156.1,1,1849
ENSG00000273443,ENSG00000273443.1,1,829
ENSG00000217801,ENSG00000217801.13,13,1219
ENSG00000237330,RNF223,3,1900
ENSG00000131591,C1orf159,18,6322
ENSG00000285812,ENSG00000285812.1,1,1095
ENSG00000223823,LINC01342,1,1620
ENSG00000207730,MIR200B,3,95
ENSG00000207607,MIR200A,3,90
ENSG00000198976,MIR429,1,83
ENSG00000272141,ENSG00000272141.1,1,987
ENSG00000205231,TTLL10-AS1,1,3532
ENSG00000162571,TTLL10,14,3998
ENSG00000186891,TNFRSF18,14,1271
ENSG00000186827,TNFRSF4,12,1975
ENSG00000078808,SDF4,20,4686
ENSG00000176022,B3GALT6,7,2805
ENSG00000184163,C1QTNF12,3,1794
ENSG00000260179,ENSG00000260179.1,1,1558
ENSG00000160087,UBE2J2,21,4691
ENSG00000230415,LINC01786,1,513
ENSG00000162572,SCNN1D,21,4025
ENSG00000131584,ACAP3,19,8707
ENSG00000278073,MIR6726,1,61
ENSG00000169972,PUSL1,13,2640
ENSG00000127054,INTS11,22,8216
ENSG00000283712,MIR6727,1,65
ENSG00000240731,ENSG00000240731.1,1,386
ENSG00000224051,CPTP,7,2555
ENSG00000169962,TAS1R3,5,3475
ENSG00000107404,DVL1,21,3882
ENSG00000284372,MIR6808,1,59
ENSG00000162576,MXRA8,17,3622
ENSG00000175756,AURKAIP1,14,1381
ENSG00000223663,NDUFB4P8,2,367
ENSG00000221978,CCNL2,13,6842
ENSG00000224870,MRPL20-AS1,9,2532
ENSG00000242485,MRPL20,6,2767
ENSG00000264293,RN7SL657P,2,293
ENSG00000272455,MRPL20-DT,1,1523
ENSG00000235098,ANKRD65,9,2644
ENSG00000225905,ANKRD65-AS1,1,543
ENSG00000205116,TMEM88B,4,3217
ENSG00000225285,LINC01770,1,851
ENSG00000179403,VWA1,12,5065
ENSG00000215915,ATAD3C,10,3981
ENSG00000160072,ATAD3B,20,7686
ENSG00000290916,ENSG00000290916.1,1,740
ENSG00000284740,ENSG00000284740.3,3,227
ENSG00000197785,ATAD3A,14,3344
ENSG00000205090,TMEM240,10,2009
ENSG00000160075,SSU72,12,6919
ENSG00000215014,ENSG00000215014.5,5,2349
ENSG00000274481,ENSG00000274481.1,1,400
ENSG00000228594,FNDC10,4,2124
ENSG00000286989,ENSG00000286989.1,1,1830
ENSG00000272106,ENSG00000272106.1,1,2038
ENSG00000197530,MIB2,13,8723
ENSG00000189409,MMP23B,14,2205
ENSG00000248333,CDK11B,9,3490
ENSG00000272004,ENSG00000272004.1,1,400
ENSG00000189339,SLC35E2B,12,8462
ENSG00000269737,ENSG00000269737.2,2,1819
ENSG00000215914,MMP23A,4,1017
ENSG00000008128,CDK11A,23,5085
ENSG00000268575,ENSG00000268575.1,1,5079
ENSG00000227775,ENSG00000227775.3,3,2759
ENSG00000290854,ENSG00000290854.1,1,3264
ENSG00000215790,SLC35E2A,9,732
ENSG00000008130,NADK,15,5570
ENSG00000078369,GNB1,19,9030
ENSG00000231050,GNB1-DT,3,1417
ENSG00000169885,CALML6,10,2040
ENSG00000178821,TMEM52,13,1600
ENSG00000142609,CFAP74,20,10422
ENSG00000233542,ENSG00000233542.2,2,2063
ENSG00000187730,GABRD,9,5525
ENSG00000226969,PRKCZ-DT,1,538
ENSG00000067606,PRKCZ,17,7695
ENSG00000271806,ENSG00000271806.1,1,4196
ENSG00000182873,PRKCZ-AS1,5,1734
ENSG00000162585,FAAP20,17,10916
ENSG00000234396,ENSG00000234396.3,3,326
ENSG00000157933,SKI,11,6687
ENSG00000287356,ENSG00000287356.1,1,5794
ENSG00000116151,MORN1,14,11337
ENSG00000272161,ENSG00000272161.1,1,493
ENSG00000269896,ENSG00000269896.2,2,2407
ENSG00000272420,ENSG00000272420.1,1,568
ENSG00000157916,RER1,20,5689
ENSG00000157911,PEX10,11,3782
ENSG00000149527,PLCH2,18,10809
ENSG00000224387,ENSG00000224387.1,1,455
ENSG00000229393,ENSG00000229393.1,1,514
ENSG00000157881,PANK4,16,5072
ENSG00000197921,HES5,6,1324
ENSG00000272449,ENSG00000272449.3,3,1542
ENSG00000238164,TNFRSF14-AS1,6,6137
ENSG00000157873,TNFRSF14,18,6214
ENSG00000225931,ENSG00000225931.3,3,1297
ENSG00000228037,ENSG00000228037.1,1,626
ENSG00000289610,ENSG00000289610.2,2,451
ENSG00000157870,PRXL2B,17,3371
ENSG00000142606,MMEL1,16,3870
ENSG00000237058,MMEL1-AS1,1,373
ENSG00000215912,TTC34,13,7780
ENSG00000285945,ENSG00000285945.1,1,593
ENSG00000283259,ENSG00000283259.1,1,1565
ENSG00000233234,ENSG00000233234.1,1,607
ENSG00000287396,ENSG00000287396.1,1,663
ENSG00000231630,ENSG00000231630.1,1,429
ENSG00000284745,ENSG00000284745.1,1,1654
ENSG00000169717,ACTRT2,7,1437
ENSG00000177133,PRDM16-DT,14,6044
ENSG00000142611,PRDM16,17,9767
ENSG00000283572,MIR4251,1,61
ENSG00000226286,ENSG00000226286.1,1,469
ENSG00000279839,ENSG00000279839.1,1,2677
ENSG00000272235,ENSG00000272235.1,1,3461
ENSG00000287828,ENSG00000287828.1,1,728
ENSG00000286518,ENSG00000286518.1,1,2784
ENSG00000130762,ARHGEF16,15,5324
ENSG00000272088,ENSG00000272088.1,1,382
ENSG00000162591,MEGF6,17,9021
ENSG00000207776,MIR551A,1,96
ENSG00000238260,ENSG00000238260.3,3,1930
ENSG00000158109,TPRG1L,15,2401
ENSG00000116213,WRAP73,16,7634
ENSG00000078900,TP73,15,6767
ENSG00000227589,TP73-AS3,1,754
ENSG00000235131,TP73-AS2,1,351
ENSG00000227372,TP73-AS1,12,9701
ENSG00000276189,ENSG00000276189.1,1,161
ENSG00000162592,CCDC27,10,4238
ENSG00000235169,SMIM1,11,993
ENSG00000130764,LRRC47,10,4509
ENSG00000266075,RN7SL574P,2,297
ENSG00000272153,ENSG00000272153.1,1,531
ENSG00000116198,CEP104,14,11885
ENSG00000169598,DFFB,17,3870
ENSG00000198912,C1orf174,12,4883
ENSG00000236423,LINC01134,8,4676
ENSG00000233304,LINC01346,7,5054
ENSG00000226374,LINC01345,3,2168
ENSG00000284668,LINC02780,2,1835
ENSG00000284703,ENSG00000284703.1,1,4817
ENSG00000229280,EEF1DP6,1,372
ENSG00000235054,LINC01777,4,2574
ENSG00000284694,ENSG00000284694.1,1,3402
ENSG00000227169,ENSG00000227169.2,2,356
ENSG00000232596,LINC01646,3,3328
ENSG00000196581,AJAP1,11,12528
ENSG00000287586,ENSG00000287586.1,1,3225
ENSG00000284739,ENSG00000284739.1,1,464
ENSG00000284674,LINC02781,1,1580
ENSG00000231510,LINC02782,1,449
ENSG00000284616,ENSG00000284616.1,1,1225
ENSG00000284692,ENSG00000284692.2,2,2316
ENSG00000284666,ENSG00000284666.1,1,609
ENSG00000260972,ENSG00000260972.1,1,1697
ENSG00000283356,ENSG00000283356.1,1,135
ENSG00000236948,ENSG00000236948.2,2,1095
ENSG00000264341,ENSG00000264341.1,1,73
ENSG00000289893,ENSG00000289893.1,1,1484
ENSG00000264101,MIR4689,1,70
ENSG00000131697,NPHP4,18,13167
ENSG00000069424,KCNAB2,16,17212
ENSG00000116254,CHD5,18,10094
ENSG00000285629,ENSG00000285629.1,1,663
ENSG00000116251,RPL22,11,4665
ENSG00000226944,RNF207-AS1,1,378
ENSG00000158286,RNF207,13,6595
ENSG00000116237,ICMT,16,4910
ENSG00000225077,ICMT-DT,3,2358
ENSG00000173673,HES3,9,710
ENSG00000158292,GPR153,7,4198
ENSG00000097021,ACOT7,21,3500
ENSG00000271746,ENSG00000271746.1,1,837
ENSG00000069812,HES2,11,5407
ENSG00000187017,ESPN,18,6940
ENSG00000265392,MIR4252,1,63
ENSG00000231868,ENSG00000231868.1,1,351
ENSG00000215788,TNFRSF25,11,4263
ENSG00000171680,PLEKHG5,23,6935
ENSG00000162408,NOL9,11,7271
ENSG00000253022,RNU6-731P,1,111
ENSG00000229519,ENSG00000229519.2,2,401
ENSG00000173662,TAS1R1,21,2764
ENSG00000204859,ZBTB48,13,4510
ENSG00000162413,KLHL21,17,6670
ENSG00000116273,PHF13,6,3632
ENSG00000041988,THAP3,16,4067
ENSG00000007923,DNAJC11,17,12182
ENSG00000228750,LINC01672,7,2188
ENSG00000284744,ENSG00000284744.1,1,987
ENSG00000237436,CAMTA1-DT,1,415
ENSG00000171735,CAMTA1,21,15672
ENSG00000227950,ENSG00000227950.1,1,286
ENSG00000237365,CAMTA1-AS3,1,349
ENSG00000207056,RNU1-8P,1,165
ENSG00000237402,CAMTA1-IT1,1,365
ENSG00000237728,CAMTA1-AS2,2,744
ENSG00000225126,CAMTA1-AS1,1,361
ENSG00000270171,ENSG00000270171.1,1,1721
ENSG00000270035,ENSG00000270035.1,1,570
ENSG00000269978,ENSG00000269978.1,1,267
ENSG00000049245,VAMP3,13,2733
ENSG00000269925,ENSG00000269925.1,1,393
ENSG00000049246,PER3,15,8128
ENSG00000236266,ENSG00000236266.1,1,830
ENSG00000049247,UTS2,14,1793
ENSG00000049249,TNFRSF9,10,6354
ENSG00000270330,ENSG00000270330.1,1,355
ENSG00000116288,PARK7,13,2397
ENSG00000200344,Y_RNA_ENSG00000200344,1,103
ENSG00000284747,ENSG00000284747.1,1,4116
ENSG00000284716,ENSG00000284716.1,1,1043
ENSG00000116285,ERRFI1,13,4179
ENSG00000238290,ERRFI1-DT,1,2044
ENSG00000232848,RPL7AP18,1,800
ENSG00000229305,ENSG00000229305.1,1,1075
ENSG00000288816,ENSG00000288816.1,1,1002
ENSG00000227634,LINC01714,3,1001
ENSG00000200975,RNU1-7P,1,164
ENSG00000233645,ENSG00000233645.1,1,477
ENSG00000251977,RNU6-991P,1,107
ENSG00000162426,SLC45A1,16,2600
ENSG00000252254,Y_RNA_ENSG00000252254,1,113
ENSG00000142599,RERE,20,14288
ENSG00000232912,RERE-AS1,6,1178
ENSG00000221083,ENSG00000221083.1,1,125
ENSG00000270282,ENSG00000270282.1,1,369
ENSG00000234619,RPL7P11,1,658
ENSG00000224315,RPL7P7,2,703
ENSG00000222511,Y_RNA_ENSG00000222511,2,103
ENSG00000226545,ENSG00000226545.1,1,415
ENSG00000228423,ENSG00000228423.2,2,353
ENSG00000229716,RPL23AP19,2,369
ENSG00000074800,ENO1,16,5216
ENSG00000274258,MIR6728,1,89
ENSG00000230679,ENO1-AS1,1,456
ENSG00000201725,RNU6-304P,1,107
ENSG00000238249,HMGN2P17,2,743
ENSG00000232208,ENSG00000232208.2,2,352
ENSG00000232663,ENSG00000232663.2,2,163
ENSG00000131686,CA6,15,2662
ENSG00000290109,ENSG00000290109.1,1,755
ENSG00000265141,RN7SL451P,2,299
ENSG00000197241,SLC2A7,4,1944
ENSG00000142583,SLC2A5,18,6632
ENSG00000252404,ENSG00000252404.1,1,184
ENSG00000180758,GPR157,12,5304
ENSG00000228526,MIR34AHG,8,8705
ENSG00000284357,MIR34A,1,110
ENSG00000289914,ENSG00000289914.1,1,624
ENSG00000234546,LNCTAM34A,5,2145
ENSG00000049239,H6PD,13,9322
ENSG00000171621,SPSB1,14,3389
ENSG00000284652,ENSG00000284652.1,1,1765
ENSG00000284693,LINC02606,2,3456
ENSG00000252956,RNA5SP40,1,110
ENSG00000235263,ENSG00000235263.1,1,708
ENSG00000171612,SLC25A33,7,3865
ENSG00000231181,ENSG00000231181.1,1,559
ENSG00000188807,TMEM201,13,6981
ENSG00000171608,PIK3CD,18,9567
ENSG00000179840,PIK3CD-AS1,5,1823
ENSG00000233268,ENSG00000233268.3,3,421
ENSG00000231789,PIK3CD-AS2,4,988
ENSG00000171603,CLSTN1,18,5241
ENSG00000271264,MZT1P1,1,246
ENSG00000280113,ENSG00000280113.2,2,1983
ENSG00000178585,CTNNBIP1,15,3339
ENSG00000223989,ENSG00000223989.1,1,424
ENSG00000285701,ENSG00000285701.1,1,762
ENSG00000162441,LZIC,12,5459
ENSG00000228150,ENSG00000228150.1,1,440
ENSG00000173614,NMNAT1,14,4610
ENSG00000202415,RN7SKP269,1,319
ENSG00000283611,TMEM274P,2,444
ENSG00000265521,MIR5697,1,78
ENSG00000241326,ENSG00000241326.1,1,436
ENSG00000162444,RBP7,12,862
ENSG00000130939,UBE4B,20,9237
ENSG00000224340,RPL21P21,1,337
ENSG00000233623,PGAM1P11,2,680
ENSG00000201746,RNU6-828P,1,107
ENSG00000054523,KIF1B,20,18915
ENSG00000264881,ENSG00000264881.1,1,86
ENSG00000199562,RNU6-37P,1,107
ENSG00000264501,RN7SL731P,2,293
ENSG00000284735,ENSG00000284735.1,1,2381
ENSG00000284642,ENSG00000284642.1,1,1477
ENSG00000142657,PGD,21,3333
ENSG00000271989,ENSG00000271989.1,1,797
ENSG00000251503,CENPS-CORT,8,2244
ENSG00000175279,CENPS,22,1748
ENSG00000241563,CORT,4,914
ENSG00000160049,DFFA,12,6625
ENSG00000203469,ENSG00000203469.2,2,467
ENSG00000142655,PEX14,13,2932
ENSG00000287727,ENSG00000287727.1,1,2876
ENSG00000243267,RN7SL614P,3,280
ENSG00000130940,CASZ1,15,11336
ENSG00000272078,ENSG00000272078.1,1,7923
ENSG00000225158,HSPE1P24,2,238
ENSG00000175262,C1orf127,15,3612
ENSG00000215785,CFL1P6,2,494
ENSG00000120948,TARDBP,19,6187
ENSG00000009724,MASP2,18,5113
ENSG00000116649,SRM,10,1894
ENSG00000171824,EXOSC10,14,5991
ENSG00000226849,ENSG00000226849.1,1,2682
ENSG00000230337,EXOSC10-AS1,3,786
ENSG00000198793,MTOR,14,13373
ENSG00000225602,MTOR-AS1,5,763
ENSG00000253086,RNU6-537P,1,103
ENSG00000171819,ANGPTL7,5,2224
ENSG00000207451,RNU6-291P,1,107
ENSG00000238173,RPL39P6,1,150
ENSG00000120942,UBIAD1,14,5090
ENSG00000238199,UBE2V2P3,1,437
ENSG00000284646,ENSG00000284646.1,1,742
ENSG00000224338,MTCYBP45,2,565
ENSG00000204624,DISP3,8,6120
ENSG00000285833,ENSG00000285833.1,1,1051
ENSG00000235643,LINC01647,2,1351
ENSG00000284708,ENSG00000284708.1,1,2094
ENSG00000116661,FBXO2,11,3163
ENSG00000132879,FBXO44,14,3527
ENSG00000116670,MAD2L2,16,5431
ENSG00000116663,FBXO6,11,1735
ENSG00000162490,DRAXIN,7,7365
ENSG00000177674,AGTRAP,16,2435
ENSG00000215910,C1orf167,8,6695
ENSG00000177553,C1orf167-AS1,6,1868
ENSG00000177000,MTHFR,13,11513
ENSG00000011021,CLCN6,23,8173
ENSG00000276470,ENSG00000276470.1,1,173
ENSG00000278852,ENSG00000278852.1,1,149
ENSG00000175206,NPPA,11,1120
ENSG00000275915,ENSG00000275915.1,1,108
ENSG00000120937,NPPB,9,708
ENSG00000224904,SBF1P2,1,2637
ENSG00000285646,ENSG00000285646.2,2,3071
ENSG00000199347,RNU5E-1,1,120
ENSG00000201801,RNU5E-4P,1,120
ENSG00000116685,KIAA2013,17,3281
ENSG00000083444,PLOD1,17,5320
ENSG00000287384,ENSG00000287384.1,1,595
ENSG00000116688,MFN2,18,10234
ENSG00000270914,ENSG00000270914.1,1,93
ENSG00000116691,MIIP,11,2821
ENSG00000202461,Y_RNA_ENSG00000202461,1,113
ENSG00000276869,MIR6729,1,65
ENSG00000243539,RN7SL649P,3,275
ENSG00000120949,TNFRSF8,15,3812
ENSG00000201135,RNU6-777P,1,104
ENSG00000227875,RPL23AP89,2,255
ENSG00000285604,ENSG00000285604.1,1,1196
ENSG00000283789,MIR7846,1,96
ENSG00000028137,TNFRSF1B,19,3778
ENSG00000263676,MIR4632,1,61
ENSG00000225196,RPL10P17,2,316
ENSG00000252969,SNORA70_ENSG00000252969,1,124
ENSG00000048707,VPS13D,15,20768
ENSG00000239149,SNORA59A,1,152
ENSG00000229484,LINC02766,3,2214
ENSG00000162496,DHRS3,9,3515
ENSG00000221340,RNU6ATAC18P,1,101
ENSG00000276830,MIR6730,1,67
ENSG00000288927,ENSG00000288927.2,2,599
ENSG00000272482,ENSG00000272482.2,2,1081
ENSG00000204518,AADACL4,3,2027
ENSG00000226166,ENSG00000226166.2,2,112
ENSG00000188984,AADACL3,12,4055
ENSG00000157330,CFAP107,10,4133
ENSG00000116726,PRAMEF12,5,2889
ENSG00000116721,PRAMEF1,9,2439
ENSG00000228338,LINC01784,1,378
ENSG00000239810,PRAMEF11,3,1845
ENSG00000231103,PRAMEF30P,2,1417
ENSG00000179172,HNRNPCL1,10,1134
ENSG00000120952,PRAMEF2,4,1642
ENSG00000243073,PRAMEF4,4,1840
ENSG00000187545,PRAMEF10,5,1525
ENSG00000204510,PRAMEF7,6,1909
ENSG00000207434,RNU6-1072P,1,107
ENSG00000234064,PRAMEF29P,1,1139
ENSG00000232423,PRAMEF6,6,1784
ENSG00000274178,PRAMEF28P,2,1450
ENSG00000274764,PRAMEF27,6,1947
ENSG00000277058,HNRNPCL3,3,1897
ENSG00000229571,PRAMEF25,7,1997
ENSG00000277862,PRAMEF34P,1,1447
ENSG00000236179,PRAMEF35P,1,891
ENSG00000275774,HNRNPCL2,3,1156
ENSG00000229978,PRAMEF36P,2,1452
ENSG00000290772,ENSG00000290772.1,1,667
ENSG00000233336,ENSG00000233336.1,1,384
ENSG00000280267,PRAMEF26,6,2541
ENSG00000179412,HNRNPCL4,11,1718
ENSG00000204505,PRAMEF9,5,2465
ENSG00000279169,PRAMEF13,3,2442
ENSG00000279804,PRAMEF18,3,2125
ENSG00000250894,PRAMEF31P,1,1371
ENSG00000270601,PRAMEF5,5,1855
ENSG00000231219,PRAMEF32P,1,1068
ENSG00000207511,RNU6-771P,1,107
ENSG00000182330,PRAMEF8,11,1611
ENSG00000237700,PRAMEF33,2,1518
ENSG00000204501,PRAMEF15,7,1865
ENSG00000228229,ENSG00000228229.2,2,384
ENSG00000204481,PRAMEF14,8,2443
ENSG00000204480,PRAMEF19,9,2123
ENSG00000204479,PRAMEF17,4,1578
ENSG00000204478,PRAMEF20,11,1597
ENSG00000162494,LRRC38,6,2168
ENSG00000259961,ENSG00000259961.1,1,477
ENSG00000215909,BRWD1P1,3,371
ENSG00000162493,PDPN,17,3707
ENSG00000222952,RNA5SP41,1,101
ENSG00000237445,ENSG00000237445.2,2,379
ENSG00000253085,ENSG00000253085.1,1,130
ENSG00000116731,PRDM2,23,10933
ENSG00000289380,ENSG00000289380.1,1,688
ENSG00000189337,KAZN,17,13860
ENSG00000252151,RNU6-1265P,1,103
ENSG00000231606,ENSG00000231606.2,2,1549
ENSG00000234593,KAZN-AS1,3,2858
ENSG00000235829,TBCAP2,1,326
ENSG00000287756,ENSG00000287756.1,1,1453
ENSG00000175147,TMEM51-AS1,13,11973
ENSG00000171729,TMEM51,14,2238
ENSG00000204464,TMEM51-AS2,7,559
ENSG00000215720,MFFP1,4,710
ENSG00000278480,ZBTB2P1,1,966
ENSG00000142621,FHAD1,21,13296
ENSG00000233485,FHAD1-AS1,1,3105
ENSG00000236045,ENSG00000236045.1,1,727
ENSG00000228140,EFHD2-AS1,2,5178
ENSG00000142634,EFHD2,13,2534
ENSG00000162438,CTRC,12,3483
ENSG00000142615,CELA2A,8,1519
ENSG00000215704,CELA2B,10,1449
